Entry,Entry name,Status,Protein names,Cross-reference (DrugBank),Annotation
A0A1A8V124,A0A1A8V124_NOTFU,unreviewed,Breast cancer metastasis-suppressor 1,,1 out of 5
A0A3G1TZ03,A0A3G1TZ03_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A3G1TYY7,A0A3G1TYY7_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A3G1TYY8,A0A3G1TYY8_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A3G1TYV8,A0A3G1TYV8_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A3G1TYZ1,A0A3G1TYZ1_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A2I6QSE7,A0A2I6QSE7_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A2I6QSF9,A0A2I6QSF9_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A2I6QSG0,A0A2I6QSG0_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A2I6QSG8,A0A2I6QSG8_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A091SNU5,A0A091SNU5_PELCR,unreviewed,Breast cancer metastasis-suppressor 1-like (Fragment),,1 out of 5
A0A091PQ31,A0A091PQ31_HALAL,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A2I6QSH3,A0A2I6QSH3_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A1A8SAZ2,A0A1A8SAZ2_9TELE,unreviewed,Breast cancer metastasis-suppressor 1,,1 out of 5
A0A0F7ZDN5,A0A0F7ZDN5_CROAD,unreviewed,Breast cancer anti-estrogen resistance protein 1,,1 out of 5
A0A1A8VIC3,A0A1A8VIC3_NOTFU,unreviewed,Breast cancer anti-estrogen resistance 1,,1 out of 5
A0A1A7Z9J4,A0A1A7Z9J4_NOTFU,unreviewed,Breast cancer anti-estrogen resistance 1,,1 out of 5
A0A3Q0GGQ5,A0A3Q0GGQ5_ALLSI,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A091NY19,A0A091NY19_HALAL,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A3P9DTH9,A0A3P9DTH9_9CICH,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A668TRR0,A0A668TRR0_OREAU,unreviewed,"Synuclein, gamma b (breast cancer-specific protein 1)",,1 out of 5
A0A091R7B2,A0A091R7B2_9GRUI,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A091T0T1,A0A091T0T1_PELCR,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A091QHK3,A0A091QHK3_MERNU,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A1A7YDT2,A0A1A7YDT2_9TELE,unreviewed,Breast cancer metastasis-suppressor 1-like b,,1 out of 5
A0A1A7W808,A0A1A7W808_9TELE,unreviewed,Breast cancer metastasis-suppressor 1 (Fragment),,1 out of 5
A0A1A7WLA9,A0A1A7WLA9_9TELE,unreviewed,Breast cancer metastasis-suppressor 1-like b,,1 out of 5
A0A4U5VH47,A0A4U5VH47_COLLU,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A6J2H4X4,A0A6J2H4X4_9PASS,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A6P9CAY0,A0A6P9CAY0_PANGU,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,2 out of 5
A0A3Q1ELN0,A0A3Q1ELN0_9TELE,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A3B3XQR3,A0A3B3XQR3_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A3Q1G5G8,A0A3Q1G5G8_9TELE,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A2I0UJB1,A0A2I0UJB1_LIMLA,unreviewed,Breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A6P9CEX3,A0A6P9CEX3_PANGU,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X2,,2 out of 5
A0A3Q2NWV3,A0A3Q2NWV3_FUNHE,unreviewed,Breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A3Q2CVB2,A0A3Q2CVB2_CYPVA,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A192A8I2,A0A192A8I2_9SAUR,unreviewed,Breast cancer 1 early onset (Fragment),,1 out of 5
A0A6J2G938,A0A6J2G938_9PASS,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X2,,2 out of 5
A0A2I0SZC1,A0A2I0SZC1_LIMLA,unreviewed,Breast cancer anti-estrogen resistance protein 1,,1 out of 5
A0A3B4FAY7,A0A3B4FAY7_9CICH,unreviewed,"Synuclein, gamma b (breast cancer-specific protein 1)",,1 out of 5
A0A6P9C2I6,A0A6P9C2I6_PANGU,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A3Q1ELR2,A0A3Q1ELR2_9TELE,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
Q5CZI9,Q5CZI9_XENLA,unreviewed,Protein CASC3,,2 out of 5
A0A6I9NZE6,A0A6I9NZE6_9TELE,unreviewed,breast cancer metastasis-suppressor 1-like protein isoform X1,,1 out of 5
A0A3Q2G0D9,A0A3Q2G0D9_CYPVA,unreviewed,Breast cancer anti-estrogen resistance protein 3 homolog,,1 out of 5
A0A6P9DBL7,A0A6P9DBL7_PANGU,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X2,,1 out of 5
A0A3B3XIZ2,A0A3B3XIZ2_9TELE,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A3Q2PDQ4,A0A3Q2PDQ4_FUNHE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A6J2G9X6,A0A6J2G9X6_9PASS,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,2 out of 5
A0A3B4XX05,A0A3B4XX05_SERLL,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A3G1TZ22,A0A3G1TZ22_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A6P9BMN7,A0A6P9BMN7_PANGU,unreviewed,breast cancer type 1 susceptibility protein,,2 out of 5
A0A6P9DLQ7,A0A6P9DLQ7_PANGU,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X1,,1 out of 5
A0A3B4XXB3,A0A3B4XXB3_SERLL,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A091K724,A0A091K724_COLST,unreviewed,Breast cancer metastasis-suppressor 1-like (Fragment),,1 out of 5
A0A4U5VXU8,A0A4U5VXU8_COLLU,unreviewed,Breast cancer anti-estrogen resistance protein 1 CRK-associated substrate p130cas,,1 out of 5
A0A093D2M4,A0A093D2M4_TAUER,unreviewed,Breast cancer anti-estrogen resistance protein 1 (Fragment),,1 out of 5
A0A4U5VVK4,A0A4U5VVK4_COLLU,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A3S6FKF6,A0A3S6FKF6_9SAUR,unreviewed,Breast cancer 1 early onset (Fragment),,1 out of 5
A0A1Z1VQU7,A0A1Z1VQU7_XENLA,unreviewed,Breast cancer type 2 susceptibility protein,,1 out of 5
A0A3B4WQJ7,A0A3B4WQJ7_SERLL,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A665TRG1,A0A665TRG1_ECHNA,unreviewed,Breast cancer anti-estrogen resistance protein 3 homolog,,1 out of 5
A0A665TGK3,A0A665TGK3_ECHNA,unreviewed,Breast cancer anti-estrogen resistance protein 3 homolog,,1 out of 5
A0A3B4WJZ6,A0A3B4WJZ6_SERLL,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A665TGZ1,A0A665TGZ1_ECHNA,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A093EWW9,A0A093EWW9_TAUER,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A4U5VYU1,A0A4U5VYU1_COLLU,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A665W112,A0A665W112_ECHNA,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A4U5VMG7,A0A4U5VMG7_COLLU,unreviewed,Breast cancer type 1 susceptibility protein-like protein,,1 out of 5
A0A4U5TVR5,A0A4U5TVR5_COLLU,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A4U5U6F0,A0A4U5U6F0_COLLU,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A3G1TZ02,A0A3G1TZ02_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A665WT59,A0A665WT59_ECHNA,unreviewed,"Synuclein, gamma b (breast cancer-specific protein 1)",,1 out of 5
A0A665W1U5,A0A665W1U5_ECHNA,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A3B4Y0W5,A0A3B4Y0W5_SERLL,unreviewed,"Synuclein, gamma b (breast cancer-specific protein 1)",,1 out of 5
A0A6P9BGM0,A0A6P9BGM0_PANGU,unreviewed,LOW QUALITY PROTEIN: breast cancer type 2 susceptibility protein,,1 out of 5
A0A3Q2NX30,A0A3Q2NX30_FUNHE,unreviewed,Breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A2D0SXT8,A0A2D0SXT8_ICTPU,unreviewed,breast cancer type 2 susceptibility protein isoform X1,,1 out of 5
A0A2D0QYA5,A0A2D0QYA5_ICTPU,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X1,,1 out of 5
A0A6P8RJY5,A0A6P8RJY5_GEOSA,unreviewed,breast cancer type 2 susceptibility protein isoform X7,,1 out of 5
W5ULE4,W5ULE4_ICTPU,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A6G0HXZ0,A0A6G0HXZ0_LARCR,unreviewed,Breast cancer type 1 susceptibility protein-like protein,,1 out of 5
A0A4Z2FR73,A0A4Z2FR73_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A6P8NW68,A0A6P8NW68_GEOSA,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X2,,1 out of 5
A0A6P8TWU1,A0A6P8TWU1_GYMAC,unreviewed,breast cancer type 2 susceptibility protein isoform X2,,1 out of 5
A0A6P8X057,A0A6P8X057_GYMAC,unreviewed,LOW QUALITY PROTEIN: breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A6G0ITG1,A0A6G0ITG1_LARCR,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A2D0QYJ8,A0A2D0QYJ8_ICTPU,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X6,,1 out of 5
A0A2D0S7R9,A0A2D0S7R9_ICTPU,unreviewed,breast cancer type 1 susceptibility protein isoform X3,,1 out of 5
A0A093QKN5,A0A093QKN5_PHACA,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A3Q2VTH8,A0A3Q2VTH8_HAPBU,unreviewed,Breast cancer metastasis-suppressor 1 homolog,,1 out of 5
A0A6P8SN69,A0A6P8SN69_GYMAC,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X3,,1 out of 5
A0A6P8RHK3,A0A6P8RHK3_GEOSA,unreviewed,breast cancer type 2 susceptibility protein isoform X4,,1 out of 5
A0A2D0SX90,A0A2D0SX90_ICTPU,unreviewed,breast cancer type 2 susceptibility protein isoform X2,,1 out of 5
A0A1S3MMX2,A0A1S3MMX2_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X1,,2 out of 5
A0A1S3PBP2,A0A1S3PBP2_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X4,,1 out of 5
A0A6P7Y0C0,A0A6P7Y0C0_9AMPH,unreviewed,LOW QUALITY PROTEIN: breast cancer type 2 susceptibility protein,,1 out of 5
A0A1S3MN57,A0A1S3MN57_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X4,,2 out of 5
A0A1S3KM35,A0A1S3KM35_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X2,,1 out of 5
A0A6P8G3T1,A0A6P8G3T1_CLUHA,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X3,,1 out of 5
A0A6P7YAC4,A0A6P7YAC4_9AMPH,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X1,,1 out of 5
A0A6P3VNQ2,A0A6P3VNQ2_CLUHA,unreviewed,breast cancer metastasis-suppressor 1-like protein-A isoform X1,,1 out of 5
A0A1S3QM68,A0A1S3QM68_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X3,,1 out of 5
A0A1S3SB15,A0A1S3SB15_SALSA,unreviewed,breast cancer metastasis-suppressor 1-like protein-A isoform X2,,1 out of 5
A0A3Q0GSV1,A0A3Q0GSV1_ALLSI,unreviewed,breast cancer type 2 susceptibility protein isoform X3,,1 out of 5
A0A3G1TYW7,A0A3G1TYW7_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A3G1TYT4,A0A3G1TYT4_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A2I6QSC6,A0A2I6QSC6_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A1A7Z8W2,A0A1A7Z8W2_NOTFU,unreviewed,Breast cancer metastasis-suppressor 1,,1 out of 5
A0A3P9B1I7,A0A3P9B1I7_9CICH,unreviewed,Breast cancer metastasis-suppressor 1 homolog,,1 out of 5
A0A1A8S868,A0A1A8S868_9TELE,unreviewed,Breast cancer anti-estrogen resistance 3 (Fragment),,1 out of 5
A0A3P9C6V0,A0A3P9C6V0_9CICH,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A091EHE3,A0A091EHE3_CORBR,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A6P7Z161,A0A6P7Z161_9AMPH,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A093J6I8,A0A093J6I8_EURHL,unreviewed,Breast cancer metastasis-suppressor 1-like (Fragment),,1 out of 5
A0A1S3R8Q5,A0A1S3R8Q5_SALSA,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A1S3SX55,A0A1S3SX55_SALSA,unreviewed,breast cancer type 2 susceptibility protein isoform X4,,1 out of 5
A0A1S3PBP4,A0A1S3PBP4_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X3,,1 out of 5
A0A1S3SBZ6,A0A1S3SBZ6_SALSA,unreviewed,breast cancer metastasis-suppressor 1 homolog,,1 out of 5
A0A1S3QLA0,A0A1S3QLA0_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A1S3KJF2,A0A1S3KJF2_SALSA,unreviewed,breast cancer metastasis-suppressor 1 homolog isoform X2,,1 out of 5
A0A1S3MBQ6,A0A1S3MBQ6_SALSA,unreviewed,breast cancer metastasis-suppressor 1-like protein-A isoform X1,,1 out of 5
A0A1S3MBZ8,A0A1S3MBZ8_SALSA,unreviewed,breast cancer metastasis-suppressor 1-like protein-A isoform X3,,1 out of 5
A0A1W7RCR4,A0A1W7RCR4_AGKCO,unreviewed,Breast cancer putative transcription factor,,1 out of 5
A0A1S3SDU7,A0A1S3SDU7_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X2,,1 out of 5
A0A1S3SX28,A0A1S3SX28_SALSA,unreviewed,breast cancer type 2 susceptibility protein isoform X2,,1 out of 5
A0A1S3SB03,A0A1S3SB03_SALSA,unreviewed,breast cancer metastasis-suppressor 1-like protein-A isoform X1,,1 out of 5
A0A0K8RXK7,A0A0K8RXK7_CROHD,unreviewed,Breast cancer metastasis suppressor 1,,1 out of 5
A0A0K8RXH9,A0A0K8RXH9_CROHD,unreviewed,Breast cancer anti-estrogen resistance protein 1,,1 out of 5
A0A1S3SX34,A0A1S3SX34_SALSA,unreviewed,breast cancer type 2 susceptibility protein isoform X5,,1 out of 5
F7ECD6,F7ECD6_XENTR,unreviewed,Breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A1S3KMX1,A0A1S3KMX1_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X4,,2 out of 5
A0A1S3T663,A0A1S3T663_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X1,,1 out of 5
A0A1S3MMS1,A0A1S3MMS1_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X7,,2 out of 5
A0A1S3QLC0,A0A1S3QLC0_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X1,,1 out of 5
A0A1S3QI75,A0A1S3QI75_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X2,,1 out of 5
A0A1S3T673,A0A1S3T673_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X3,,1 out of 5
A0A6P8GJZ5,A0A6P8GJZ5_CLUHA,unreviewed,breast cancer metastasis-suppressor 1-like protein-A isoform X2,,1 out of 5
A0A1S3SDT4,A0A1S3SDT4_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X3,,1 out of 5
A0A1S3MBN6,A0A1S3MBN6_SALSA,unreviewed,breast cancer metastasis-suppressor 1-like protein-A isoform X2,,1 out of 5
A0A1S3QIX6,A0A1S3QIX6_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X1,,1 out of 5
A0A6J2P854,A0A6J2P854_COTGO,unreviewed,breast cancer metastasis-suppressor 1-like protein-A isoform X1,,1 out of 5
A0A6P7LL47,A0A6P7LL47_BETSP,unreviewed,breast cancer metastasis-suppressor 1-like protein isoform X2,,1 out of 5
A0A3Q0GXG7,A0A3Q0GXG7_ALLSI,unreviewed,breast cancer type 2 susceptibility protein isoform X2,,1 out of 5
A0A6P7HL28,A0A6P7HL28_9TELE,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A3P8NK48,A0A3P8NK48_ASTCA,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A6P7HED0,A0A6P7HED0_9TELE,unreviewed,breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A6J2QVS5,A0A6J2QVS5_COTGO,unreviewed,breast cancer type 2 susceptibility protein,,1 out of 5
A0A6P7JJZ1,A0A6P7JJZ1_9TELE,unreviewed,breast cancer type 2 susceptibility protein,,1 out of 5
A0A6P7PAM9,A0A6P7PAM9_BETSP,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X2,,1 out of 5
A0A6J2PLM8,A0A6J2PLM8_COTGO,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X2,,1 out of 5
A0A6P7K8D2,A0A6P7K8D2_9TELE,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X3,,2 out of 5
A0A6P7P9T5,A0A6P7P9T5_BETSP,unreviewed,breast cancer type 2 susceptibility protein isoform X5,,1 out of 5
A0A6P7PB44,A0A6P7PB44_BETSP,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X4,,1 out of 5
V9KAW7,V9KAW7_CALMI,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A6P7LE31,A0A6P7LE31_BETSP,unreviewed,breast cancer metastasis-suppressor 1 homolog isoform X3,,1 out of 5
A0A6J0IV13,A0A6J0IV13_9PASS,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X2,,1 out of 5
A0A099ZMP2,A0A099ZMP2_TINGU,unreviewed,Breast cancer metastasis-suppressor 1-like (Fragment),,1 out of 5
A0A674B3H3,A0A674B3H3_SALTR,unreviewed,Breast cancer metastasis-suppressor 1 homolog,,1 out of 5
A0A674AV86,A0A674AV86_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A091I145,A0A091I145_BUCRH,unreviewed,Breast cancer anti-estrogen resistance protein 1 (Fragment),,1 out of 5
A0A6J1U9J6,A0A6J1U9J6_9SAUR,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X1,,1 out of 5
A0A6I9PW44,A0A6I9PW44_9TELE,unreviewed,breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A091GS88,A0A091GS88_BUCRH,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A673X0V8,A0A673X0V8_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A674AUZ9,A0A674AUZ9_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A6J0IWX7,A0A6J0IWX7_9PASS,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X4,,1 out of 5
A0A6J1VFI6,A0A6J1VFI6_9SAUR,unreviewed,breast cancer type 1 susceptibility protein,,1 out of 5
A0A6J1TQM1,A0A6J1TQM1_9SAUR,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A6I9PVE8,A0A6I9PVE8_9TELE,unreviewed,breast cancer type 2 susceptibility protein,,1 out of 5
A0A673XAP0,A0A673XAP0_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A151NL90,A0A151NL90_ALLMI,unreviewed,Breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A151MFD0,A0A151MFD0_ALLMI,unreviewed,Breast cancer anti-estrogen resistance protein 3 isoform C,,1 out of 5
A0A099ZB50,A0A099ZB50_TINGU,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A674AUY9,A0A674AUY9_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A151MPE0,A0A151MPE0_ALLMI,unreviewed,Breast cancer type 2 susceptibility protein isoform A,,1 out of 5
A0A1S3SX37,A0A1S3SX37_SALSA,unreviewed,breast cancer type 2 susceptibility protein isoform X3,,1 out of 5
A0A6P7Y3B5,A0A6P7Y3B5_9AMPH,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X3,,1 out of 5
A0A1S3MMR6,A0A1S3MMR6_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X2,,2 out of 5
A0A1S3MMX7,A0A1S3MMX7_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X6,,2 out of 5
A0A091LFP2,A0A091LFP2_9GRUI,unreviewed,Breast cancer metastasis-suppressor 1-like (Fragment),,1 out of 5
A0A1S3MN26,A0A1S3MN26_SALSA,unreviewed,breast cancer anti-estrogen resistance protein 1-like isoform X3,,2 out of 5
A0A6G6CC95,A0A6G6CC95_BLV,unreviewed,Gp51 (Fragment),,1 out of 5
Q9HBF7,Q9HBF7_9BETR,unreviewed,Gag-pro-pol protein (Fragment),,1 out of 5
Q1G6A8,Q1G6A8_9BETR,unreviewed,Envelope protein (Fragment),,1 out of 5
A0A1M2W3F7,A0A1M2W3F7_TRAPU,unreviewed,Breast cancer type 2 susceptibility protein-like protein,,1 out of 5
A0A369K630,A0A369K630_HYPMA,unreviewed,Breast cancer type 2 susceptibility,,1 out of 5
A0A0L6WZA0,A0A0L6WZA0_9AGAR,unreviewed,Breast cancer type 2 susceptibility like protein,,1 out of 5
A0A075APB9,A0A075APB9_ROZAC,unreviewed,Breast cancer type 2 susceptibility protein domain-containing protein,,1 out of 5
T5A9W7,T5A9W7_OPHSC,unreviewed,Breast cancer suppressor protein BRCT,,1 out of 5
A0A3G2S8T3,A0A3G2S8T3_9BASI,unreviewed,Breast cancer type 2 susceptibility protein,,1 out of 5
A0A2S5B6N8,A0A2S5B6N8_9BASI,unreviewed,Breast cancer 2 susceptibility protein,,1 out of 5
A0A068Y832,A0A068Y832_ECHMU,unreviewed,Breast cancer anti estrogen resistance protein,,1 out of 5
A0A6J1LME4,A0A6J1LME4_DROHY,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,1 out of 5
A0A1S3D3P0,A0A1S3D3P0_DIACI,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A430QA04,A0A430QA04_SCHBO,unreviewed,Breast cancer 2 susceptibility protein,,1 out of 5
A0A6P4H6B3,A0A6P4H6B3_DROTK,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,1 out of 5
A0A068YBE0,A0A068YBE0_ECHMU,unreviewed,Breast cancer type 2 susceptibility protein,,1 out of 5
A0A3B0JDM9,A0A3B0JDM9_DROGU,unreviewed,Blast:Breast cancer type 2 susceptibility protein homolog,,1 out of 5
A0A6P4HJZ6,A0A6P4HJZ6_DROTK,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X3,,1 out of 5
A0A5E4MH29,A0A5E4MH29_9HEMI,unreviewed,"Nucleic acid-binding, OB-fold,Tower domain,Breast cancer type 2 susceptibility protein",,1 out of 5
A0A6J1L5Y4,A0A6J1L5Y4_DROHY,unreviewed,breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A504YLW8,A0A504YLW8_FASGI,unreviewed,Breast cancer anti-estrogen resistance protein 1,,1 out of 5
V5I002,V5I002_IXORI,unreviewed,Putative transporter abc superfamily breast cancer resistance protein (Fragment),,1 out of 5
V5HR39,V5HR39_IXORI,unreviewed,Putative breast cancer metastasis-suppressor 1-like a (Fragment),,1 out of 5
